,Orientation,Parent,Fluor,PWM,Window_size,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with
23,top,75,GFP,minus10,6,0.8063617236998386,"[99, 105]",62787,30,1.054945054945055,1.0317460317460316
24,top,75,GFP,minus10,6,4.6998062251796566e-14,"[100, 106]",3359,59458,1.037037037037037,1.0555555555555556
25,top,75,GFP,minus10,6,2.081118972911213e-08,"[101, 107]",62592,225,1.0552236410329576,1.0217391304347827
26,top,75,GFP,minus10,6,0.35456689879320524,"[102, 108]",62780,37,1.054945054945055,1.0208333333333333
27,top,75,GFP,minus10,6,0.5410012109526927,"[103, 109]",4018,58799,1.044776119402985,1.0555555555555556
28,top,75,GFP,minus10,6,0.005425357666677231,"[104, 110]",62801,16,1.054945054945055,1.0
29,top,75,GFP,minus10,6,0.4197700692745093,"[105, 111]",62576,241,1.0548513050919985,1.0576923076923077
30,top,75,GFP,minus10,6,0.003985034564217903,"[106, 112]",62664,153,1.055045871559633,1.0277777777777777
31,top,75,GFP,minus10,6,1.6264086760999312e-17,"[117, 123]",62687,130,1.0545454545454545,1.3297101449275361
32,top,75,GFP,minus10,6,2.1258413287697596e-11,"[120, 126]",4272,58545,1.04,1.0555555555555556
33,top,75,GFP,minus10,6,0.0010402177111793743,"[122, 128]",62319,498,1.0545454545454545,1.0727272727272728
34,top,75,GFP,minus10,6,0.02932979457590743,"[125, 131]",62525,292,1.054945054945055,1.0444444444444445
35,top,75,GFP,minus35,6,0.0030556835090607914,"[14, 20]",62258,559,1.0552147239263805,1.0416666666666667
36,top,75,GFP,minus35,6,0.23805955203301177,"[17, 23]",62495,322,1.054945054945055,1.05
37,top,75,GFP,minus35,6,0.11629799185951746,"[22, 28]",62803,14,1.054945054945055,1.002906976744186
38,top,75,GFP,minus35,6,1.0500484239068518e-14,"[23, 29]",6853,55964,1.0389610389610389,1.056374142289635
39,top,75,GFP,minus35,6,4.013290720765464e-24,"[24, 30]",7625,55192,1.037037037037037,1.0571428571428572
40,top,75,GFP,minus35,6,2.444984316166551e-13,"[25, 31]",61828,989,1.0555555555555556,1.0235294117647058
41,top,75,GFP,minus35,6,0.0017849126488044375,"[26, 32]",62804,13,1.054945054945055,1.0
42,top,75,GFP,minus35,6,0.0034915754994464918,"[28, 34]",62347,470,1.0552147239263805,1.0349404943545926
43,top,75,GFP,minus35,6,0.0026523034324522033,"[32, 38]",62646,171,1.055045871559633,1.0345744680851063
44,top,75,GFP,minus35,6,0.00722123615327947,"[33, 39]",62448,369,1.0550819908979268,1.0294117647058822
45,top,75,GFP,minus35,6,0.06831042235972666,"[34, 40]",62025,792,1.0547945205479452,1.0566037735849056
46,top,75,GFP,minus35,6,0.9309311068839137,"[42, 48]",62344,473,1.054945054945055,1.0476190476190477
47,top,75,GFP,minus35,6,7.242378758643985e-41,"[43, 49]",5411,57406,1.030612244897959,1.0571428571428572
48,top,75,GFP,minus35,6,0.00047782018848711004,"[44, 50]",62791,26,1.054945054945055,1.0
49,top,75,GFP,minus35,6,0.17155412426997996,"[62, 68]",62472,345,1.0547945205479452,1.0666666666666669
50,top,75,GFP,minus35,6,0.00795533011121857,"[63, 69]",62464,353,1.0552147239263805,1.032258064516129
51,top,75,GFP,minus35,6,0.023227455673293505,"[76, 82]",62634,183,1.054945054945055,1.0347826086956522
52,top,75,GFP,minus35,6,8.66361361968089e-14,"[83, 89]",61768,1049,1.0555555555555556,1.0307692307692309
53,top,75,GFP,minus35,6,0.15704784360051752,"[84, 90]",62612,205,1.054945054945055,1.0333333333333334
54,top,75,GFP,minus35,6,0.06233385986109522,"[88, 94]",62417,400,1.055045871559633,1.0416410098522166
55,top,75,GFP,minus35,6,2.053885707588335e-05,"[89, 95]",62539,278,1.0552147239263805,1.0230646871686109
56,top,75,GFP,minus35,6,1.0916079741015213e-06,"[95, 101]",61805,1012,1.0555555555555556,1.0350985221674875
57,top,75,GFP,minus35,6,5.352049292133439e-10,"[97, 103]",62780,37,1.0547945205479452,2.3536585365853657
58,top,75,GFP,minus35,6,0.045077497087676825,"[98, 104]",62801,16,1.0548245614035088,1.1967793243902851
59,top,75,GFP,minus35,6,0.036853651249438915,"[99, 105]",62800,17,1.054809540975727,1.125
60,top,75,GFP,minus35,6,3.998826376795623e-16,"[105, 111]",62413,404,1.0555555555555556,1.0127279459409424
61,top,75,GFP,minus35,6,3.073531911623772e-13,"[106, 112]",62350,467,1.0555555555555556,1.0217391304347827
62,top,75,GFP,minus35,6,0.06155018062419757,"[107, 113]",62804,13,1.054945054945055,1.0108695652173914
63,top,75,GFP,minus35,6,0.5498428609735729,"[109, 115]",62806,11,1.0548989786236538,1.0
64,top,75,GFP,minus35,6,8.683687271994106e-11,"[110, 116]",3251,59566,1.0413223140495869,1.0555555555555556
65,top,75,GFP,minus35,6,0.07907510033526859,"[111, 117]",62800,17,1.054945054945055,1.0
66,top,75,GFP,minus35,6,8.507223708832206e-07,"[118, 124]",62613,204,1.0552486187845305,1.020204081632653
67,top,75,GFP,minus35,6,0.0002379423325913492,"[119, 125]",62262,555,1.0552147239263805,1.04
68,top,75,GFP,minus35,6,0.5979423436392706,"[124, 130]",62750,67,1.0549324817059371,1.0465116279069768
69,top,75,GFP,minus35,6,5.995881150507294e-08,"[130, 136]",6056,56761,1.0451006743912923,1.0555555555555556
70,top,75,GFP,minus35,6,0.23745522411071518,"[131, 137]",62714,103,1.054945054945055,1.04
71,top,75,GFP,minus35,6,0.07149651139347461,"[141, 147]",62806,11,1.0549324817059371,1.0
72,top,75,GFP,minus35,6,0.016057960400968962,"[144, 150]",62520,297,1.055045871559633,1.0341463414634149
73,top,75,RFP,minus10,6,0.06572625246521321,"[7, 13]",62576,241,1.0555555555555556,1.083832335329341
74,top,75,RFP,minus10,6,3.073257476339698e-20,"[9, 15]",62552,265,1.0555555555555556,1.25
75,top,75,RFP,minus10,6,1.2322374683514606e-212,"[12, 18]",4155,58662,1.0,1.0612244897959184
76,top,75,RFP,minus10,6,0.0010352769631292711,"[13, 19]",62798,19,1.0555555555555556,1.0
77,top,75,RFP,minus10,6,3.4648036106721605e-42,"[17, 23]",62213,604,1.0555555555555556,1.0
78,top,75,RFP,minus10,6,3.877171153435059e-05,"[24, 30]",62604,213,1.0555555555555556,1.0229007633587786
79,top,75,RFP,minus10,6,0.2051739139606895,"[28, 34]",62803,14,1.0555555555555556,1.0
80,top,75,RFP,minus10,6,3.9621812535053927e-10,"[29, 35]",5543,57274,1.0714285714285714,1.0541103603603603
81,top,75,RFP,minus10,6,0.00010627886062360171,"[30, 36]",62597,220,1.0555555555555556,1.0136029411764707
82,top,75,RFP,minus10,6,3.815696777269311e-108,"[34, 40]",62447,370,1.0545454545454545,1.807549857549858
83,top,75,RFP,minus10,6,0.014216783779647638,"[39, 45]",62778,39,1.0555555555555556,1.125
84,top,75,RFP,minus10,6,0.19711148380289967,"[46, 52]",61794,1023,1.0555555555555556,1.051282051282051
85,top,75,RFP,minus10,6,6.622130425334504e-07,"[49, 55]",62333,484,1.0555555555555556,1.0265193693957686
86,top,75,RFP,minus10,6,1.9866293106083674e-06,"[51, 57]",62509,308,1.0555555555555556,1.1181455633100699
87,top,75,RFP,minus10,6,0.3097773809691672,"[61, 67]",62807,10,1.0555555555555556,1.0227272727272727
88,top,75,RFP,minus10,6,0.1037889757451774,"[63, 69]",62610,207,1.0555555555555556,1.0263157894736843
89,top,75,RFP,minus10,6,0.007945677167306205,"[76, 82]",62398,419,1.0555555555555556,1.035928143712575
90,top,75,RFP,minus10,6,0.0022636622163756115,"[78, 84]",62554,263,1.0555555555555556,1.0289855072463767
91,top,75,RFP,minus10,6,0.08450702204403429,"[84, 90]",62008,809,1.0555555555555556,1.0481927710843373
92,top,75,RFP,minus10,6,0.0018871456393828078,"[90, 96]",62645,172,1.0555555555555556,1.0244047619047616
93,top,75,RFP,minus10,6,0.001524574681407972,"[91, 97]",60937,1880,1.0555555555555556,1.0434782608695652
94,top,75,RFP,minus10,6,0.40271466729501504,"[93, 99]",62581,236,1.0555555555555556,1.043668954996186
95,top,75,RFP,minus10,6,3.0951275722065964e-11,"[98, 104]",62580,237,1.0555555555555556,1.0
96,top,75,RFP,minus10,6,0.024615344006707316,"[99, 105]",62787,30,1.0555555555555556,1.0
97,top,75,RFP,minus10,6,1.212114124223738e-45,"[100, 106]",3359,59458,1.0227272727272727,1.0576923076923077
98,top,75,RFP,minus10,6,6.60351907318812e-07,"[101, 107]",62592,225,1.0555555555555556,1.0
99,top,75,RFP,minus10,6,0.09108385758565456,"[102, 108]",62780,37,1.0555555555555556,1.0
100,top,75,RFP,minus10,6,0.35219770428767116,"[103, 109]",4018,58799,1.0526315789473684,1.0555555555555556
101,top,75,RFP,minus10,6,0.4448018072570612,"[104, 110]",62801,16,1.0555555555555556,1.0
102,top,75,RFP,minus10,6,3.381216745330577e-06,"[105, 111]",62576,241,1.0555555555555556,1.015384615384615
103,top,75,RFP,minus10,6,0.02248019884789291,"[106, 112]",62664,153,1.0555555555555556,1.0952380952380951
104,top,75,RFP,minus10,6,0.04789532696309184,"[117, 123]",62687,130,1.0555555555555556,1.1012820512820514
105,top,75,RFP,minus10,6,0.31392898113015977,"[120, 126]",4272,58545,1.0509339328951919,1.0555555555555556
106,top,75,RFP,minus10,6,1.1027081084192272e-10,"[122, 128]",62319,498,1.0555555555555556,1.0084325396825395
107,top,75,RFP,minus10,6,2.0976733545992253e-07,"[125, 131]",62525,292,1.0555555555555556,1.0122242098986285
108,top,75,RFP,minus35,6,4.962572703522614e-34,"[14, 20]",62258,559,1.0555555555555556,1.0
109,top,75,RFP,minus35,6,2.566567937123423e-29,"[17, 23]",62495,322,1.0555555555555556,1.0
110,top,75,RFP,minus35,6,0.24253693688126798,"[22, 28]",62803,14,1.0555555555555556,1.0
111,top,75,RFP,minus35,6,6.280999433146367e-08,"[23, 29]",6853,55964,1.0588235294117647,1.0555555555555556
112,top,75,RFP,minus35,6,4.611745966816689e-11,"[24, 30]",7625,55192,1.0353982300884956,1.0576923076923077
113,top,75,RFP,minus35,6,3.8745503304863504e-38,"[25, 31]",61828,989,1.0545454545454545,1.1875
114,top,75,RFP,minus35,6,0.00014253921234603676,"[26, 32]",62804,13,1.0555555555555556,2.205714285714285
115,top,75,RFP,minus35,6,0.004304026057529274,"[28, 34]",62347,470,1.0555555555555556,1.0341905318527176
116,top,75,RFP,minus35,6,0.2259267186348316,"[32, 38]",62646,171,1.0555555555555556,1.03125
117,top,75,RFP,minus35,6,3.2240149971255576e-18,"[33, 39]",62448,369,1.0555555555555556,1.0
118,top,75,RFP,minus35,6,2.926823565700608e-55,"[34, 40]",62025,792,1.0542056074766355,1.25
119,top,75,RFP,minus35,6,6.49806106275325e-05,"[42, 48]",62344,473,1.0555555555555556,1.0256410256410255
120,top,75,RFP,minus35,6,2.664055867789621e-05,"[43, 49]",5411,57406,1.0614525139664803,1.0549725274725275
121,top,75,RFP,minus35,6,0.05987335574525211,"[44, 50]",62791,26,1.0555555555555556,1.0
122,top,75,RFP,minus35,6,0.4847156298778523,"[62, 68]",62472,345,1.0555555555555556,1.0434782608695652
123,top,75,RFP,minus35,6,0.5107436765601723,"[63, 69]",62464,353,1.0555555555555556,1.0495049504950495
124,top,75,RFP,minus35,6,1.8931697332065818e-05,"[76, 82]",62634,183,1.0555555555555556,1.01
125,top,75,RFP,minus35,6,0.0977800020898978,"[83, 89]",61768,1049,1.0555555555555556,1.0481927710843373
126,top,75,RFP,minus35,6,0.2294077201911241,"[84, 90]",62612,205,1.0555555555555556,1.0491803278688523
127,top,75,RFP,minus35,6,0.2676696149629937,"[88, 94]",62417,400,1.0555555555555556,1.0605043725849095
128,top,75,RFP,minus35,6,0.01978046352093919,"[89, 95]",62539,278,1.0555555555555556,1.036472148541114
129,top,75,RFP,minus35,6,1.9193959029901176e-20,"[95, 101]",61805,1012,1.0555555555555556,1.015325895478567
130,top,75,RFP,minus35,6,0.0019760345448791767,"[97, 103]",62780,37,1.0555555555555556,1.0
131,top,75,RFP,minus35,6,0.12253232909442613,"[98, 104]",62801,16,1.0555555555555556,1.0108695652173914
132,top,75,RFP,minus35,6,0.17621715486917555,"[99, 105]",62800,17,1.0555555555555556,1.0217391304347827
133,top,75,RFP,minus35,6,0.03152121574718878,"[105, 111]",62413,404,1.0555555555555556,1.0444994499449947
134,top,75,RFP,minus35,6,0.000478120186831279,"[106, 112]",62350,467,1.0555555555555556,1.0281124497991967
135,top,75,RFP,minus35,6,0.09202476375294597,"[107, 113]",62804,13,1.0555555555555556,1.0
136,top,75,RFP,minus35,6,0.15306907668913802,"[109, 115]",62806,11,1.0555555555555556,1.0
137,top,75,RFP,minus35,6,7.36466054389081e-70,"[110, 116]",3251,59566,1.017751479289941,1.0588235294117647
138,top,75,RFP,minus35,6,0.00033168029542805436,"[111, 117]",62800,17,1.0555555555555556,1.0
139,top,75,RFP,minus35,6,0.16488757837547774,"[118, 124]",62613,204,1.0555555555555556,1.0476190476190477
140,top,75,RFP,minus35,6,5.9025947475198435e-08,"[119, 125]",62262,555,1.0555555555555556,1.1111111111111112
141,top,75,RFP,minus35,6,0.14258247799292031,"[124, 130]",62750,67,1.0555555555555556,1.0253164556962024
142,top,75,RFP,minus35,6,0.0030263196334781514,"[130, 136]",6056,56761,1.0491803278688523,1.0555555555555556
143,top,75,RFP,minus35,6,0.4712001719838548,"[131, 137]",62714,103,1.0555555555555556,1.0714285714285714
144,top,75,RFP,minus35,6,0.0029633610249237925,"[141, 147]",62806,11,1.0555555555555556,1.0
145,top,75,RFP,minus35,6,0.0014456344800093924,"[144, 150]",62520,297,1.0555555555555556,1.03125
146,top,18,GFP,minus10,6,0.029688909804952125,"[5, 11]",29458,176,1.0377358490566038,1.0298573975044563
147,top,18,GFP,minus10,6,0.9531422697877027,"[8, 14]",29541,93,1.0375,1.0476190476190477
148,top,18,GFP,minus10,6,9.251102505218872e-15,"[16, 22]",29510,124,1.0379605560578662,1.0
149,top,18,GFP,minus10,6,0.37358998969551405,"[18, 24]",1664,27970,1.0384615384615383,1.0375
150,top,18,GFP,minus10,6,0.00012654117524586787,"[21, 27]",29538,96,1.0377358490566038,1.0
151,top,18,GFP,minus10,6,0.008382919760348205,"[23, 29]",29548,86,1.0375,1.0672993960310613
152,top,18,GFP,minus10,6,2.9396068542873696e-12,"[24, 30]",29541,93,1.0373831775700937,1.375
153,top,18,GFP,minus10,6,2.8710123825035006e-15,"[27, 33]",29358,276,1.0384615384615383,1.0079967470859312
154,top,18,GFP,minus10,6,0.3262505053109085,"[33, 39]",28900,734,1.0375,1.0356688476917486
155,top,18,GFP,minus10,6,0.8603163186453022,"[35, 41]",29513,121,1.0375,1.05
156,top,18,GFP,minus10,6,0.00013717850477691068,"[36, 42]",29514,120,1.0377358490566038,1.0
157,top,18,GFP,minus10,6,2.264433618285184e-13,"[38, 44]",29463,171,1.0379746835443038,1.0
158,top,18,GFP,minus10,6,0.4897166901810137,"[41, 47]",29521,113,1.0375,1.0461538461538462
159,top,18,GFP,minus10,6,0.05874579816538002,"[57, 63]",29541,93,1.0373831775700937,1.0754716981132075
160,top,18,GFP,minus10,6,0.18947332297164832,"[59, 65]",28874,760,1.0376141967822783,1.0341905318527176
161,top,18,GFP,minus10,6,0.015482183174006025,"[60, 66]",29546,88,1.0377358490566038,1.0189494094835183
162,top,18,GFP,minus10,6,8.748476537677934e-09,"[61, 67]",29557,77,1.0377358490566038,1.0
163,top,18,GFP,minus10,6,0.33707962559831106,"[64, 70]",29489,145,1.0375,1.0434782608695652
164,top,18,GFP,minus10,6,6.648950881276736e-05,"[70, 76]",29595,39,1.0377358490566038,1.0
165,top,18,GFP,minus10,6,0.12334501997091772,"[73, 79]",29435,199,1.0375,1.0294117647058822
166,top,18,GFP,minus10,6,0.004583597853381856,"[75, 81]",29505,129,1.0375,1.0535714285714286
167,top,18,GFP,minus10,6,8.935146364642528e-12,"[77, 83]",29545,89,1.0377358490566038,1.0
168,top,18,GFP,minus10,6,2.0268417774897244e-23,"[80, 86]",29476,158,1.0382433301189329,1.0
169,top,18,GFP,minus10,6,0.03084394032333399,"[82, 88]",29572,62,1.0375,1.0119226066032898
170,top,18,GFP,minus10,6,1.610285683214545e-05,"[83, 89]",29217,417,1.037037037037037,1.064516129032258
171,top,18,GFP,minus10,6,0.10862237821753053,"[85, 91]",29557,77,1.0375,1.0126582278481011
172,top,18,GFP,minus10,6,0.0067391717972588375,"[86, 92]",29578,56,1.037576335204208,1.0125703564727955
173,top,18,GFP,minus10,6,5.5203731289278094e-09,"[91, 97]",29506,128,1.0378787878787878,1.0
174,top,18,GFP,minus10,6,0.026288220517497695,"[114, 120]",29515,119,1.0375,1.0526315789473684
175,top,18,GFP,minus10,6,0.29138059568098884,"[119, 125]",29607,27,1.0375,1.0952380952380951
176,top,18,GFP,minus10,6,0.0854886909419119,"[127, 133]",29556,78,1.0376141967822783,1.021729338033686
177,top,18,GFP,minus10,6,0.002806884688811325,"[134, 140]",29582,52,1.0376141967822783,1.0034013605442178
178,top,18,GFP,minus10,6,0.32125044963974303,"[136, 142]",29543,91,1.0375,1.0184331797235022
179,top,18,GFP,minus10,6,0.10937761623891214,"[139, 145]",29613,21,1.0375,1.0
180,top,18,GFP,minus35,6,0.007092724987107271,"[0, 6]",29475,159,1.0377358490566038,1.025974025974026
181,top,18,GFP,minus35,6,5.009511262017477e-06,"[3, 9]",29602,32,1.0377358490566038,1.0
182,top,18,GFP,minus35,6,0.37234359638715264,"[6, 12]",29565,69,1.0375,1.0416666666666667
183,top,18,GFP,minus35,6,0.02215082088506695,"[7, 13]",29383,251,1.037593984962406,1.0294117647058822
184,top,18,GFP,minus35,6,0.4739623828941827,"[14, 20]",29378,256,1.0375,1.0392307692307692
185,top,18,GFP,minus35,6,2.2654333734958397e-16,"[16, 22]",29576,58,1.0373197893585795,1.5565202978376174
186,top,18,GFP,minus35,6,0.9910522084983242,"[17, 23]",28869,765,1.0375,1.0388349514563109
187,top,18,GFP,minus35,6,5.740380872868297e-12,"[21, 27]",29572,62,1.0377358490566038,1.0
188,top,18,GFP,minus35,6,5.740380872868297e-12,"[22, 28]",29572,62,1.0377358490566038,1.0
189,top,18,GFP,minus35,6,3.106869737317295e-12,"[23, 29]",29539,95,1.0373831775700937,1.35
190,top,18,GFP,minus35,6,0.06378474684184283,"[28, 34]",29551,83,1.0375,1.046979865771812
191,top,18,GFP,minus35,6,0.000738455670672599,"[29, 35]",29614,20,1.0375,1.1843297101449275
192,top,18,GFP,minus35,6,0.0028982673728668263,"[39, 45]",29588,46,1.0375,1.1223684210526317
193,top,18,GFP,minus35,6,3.0533982291545497e-06,"[40, 46]",2820,26814,1.041986121215513,1.037037037037037
194,top,18,GFP,minus35,6,0.03319369281139241,"[55, 61]",29610,24,1.0375,1.0
195,top,18,GFP,minus35,6,1.0632857812870782e-15,"[56, 62]",3148,26486,1.0262297901616786,1.0387596899224807
196,top,18,GFP,minus35,6,0.001273196813546965,"[57, 63]",29561,73,1.0377358490566038,1.0098039215686274
197,top,18,GFP,minus35,6,8.386484963517922e-08,"[65, 71]",29501,133,1.0377358490566038,1.0071428571428571
198,top,18,GFP,minus35,6,0.001874495387241184,"[68, 74]",29598,36,1.037593984962406,1.0
199,top,18,GFP,minus35,6,1.0304816956010875e-06,"[75, 81]",29371,263,1.0379746835443038,1.0066445182724253
200,top,18,GFP,minus35,6,2.0548289257957843e-20,"[77, 83]",29484,150,1.0380952380952382,1.0
201,top,18,GFP,minus35,6,4.191842841564055e-20,"[78, 84]",29449,185,1.0382513661202186,1.0
202,top,18,GFP,minus35,6,1.2516710969775244e-05,"[79, 85]",2155,27479,1.0281425891181988,1.0384615384615383
203,top,18,GFP,minus35,6,0.05157860975453127,"[80, 86]",29618,16,1.0375,1.1404463040446304
204,top,18,GFP,minus35,6,0.1425489355790027,"[81, 87]",29623,11,1.0375,1.080892608089261
205,top,18,GFP,minus35,6,1.111229212533488e-09,"[95, 101]",29504,130,1.0379746835443038,1.0
206,top,18,GFP,minus35,6,0.31329596419277084,"[101, 107]",29612,22,1.0375,1.0206840862975692
207,top,18,GFP,minus35,6,5.023205307620485e-07,"[109, 115]",29437,197,1.037837837837838,1.0148367952522257
208,top,18,GFP,minus35,6,4.201235238055034e-06,"[113, 119]",2397,27237,1.0285714285714285,1.0384615384615383
209,top,18,GFP,minus35,6,0.0011206691298905013,"[116, 122]",29444,190,1.0377358490566038,1.0179647160068845
210,top,18,GFP,minus35,6,0.4005069323133085,"[122, 128]",29528,106,1.037593984962406,1.0151794281327962
211,top,18,GFP,minus35,6,0.11205843641269794,"[126, 132]",29428,206,1.0377358490566038,1.0252172070353889
212,top,18,GFP,minus35,6,0.0285886746238776,"[127, 133]",29601,33,1.0375586854460097,1.0047619047619047
213,top,18,RFP,minus10,6,1.545507918656623e-180,"[5, 11]",29458,176,1.0,1.9628504826318207
214,top,18,RFP,minus10,6,0.001421542001757166,"[8, 14]",29541,93,1.0,1.0
215,top,18,RFP,minus10,6,2.6594635895250686e-07,"[16, 22]",29510,124,1.0,1.0
216,top,18,RFP,minus10,6,2.7337859175872602e-08,"[18, 24]",1664,27970,1.0,1.0
217,top,18,RFP,minus10,6,0.1933404151793554,"[21, 27]",29538,96,1.0,1.0
218,top,18,RFP,minus10,6,0.05017647252509214,"[23, 29]",29548,86,1.0,1.0
219,top,18,RFP,minus10,6,0.23300326165576635,"[24, 30]",29541,93,1.0,1.0
220,top,18,RFP,minus10,6,0.3078456003977307,"[27, 33]",29358,276,1.0,1.0
221,top,18,RFP,minus10,6,0.004564881492948945,"[33, 39]",28900,734,1.0,1.0
222,top,18,RFP,minus10,6,0.0003572554075876455,"[35, 41]",29513,121,1.0,1.0
223,top,18,RFP,minus10,6,0.001208868954175047,"[36, 42]",29514,120,1.0,1.0
224,top,18,RFP,minus10,6,0.7000825105193922,"[38, 44]",29463,171,1.0,1.0
225,top,18,RFP,minus10,6,0.20032928202316613,"[41, 47]",29521,113,1.0,1.0
226,top,18,RFP,minus10,6,0.26555483644304745,"[57, 63]",29541,93,1.0,1.0
227,top,18,RFP,minus10,6,0.0778994125536493,"[59, 65]",28874,760,1.0,1.0
228,top,18,RFP,minus10,6,0.004203695207744842,"[60, 66]",29546,88,1.0,1.0
229,top,18,RFP,minus10,6,0.6361661319516074,"[61, 67]",29557,77,1.0,1.0
230,top,18,RFP,minus10,6,0.0056369629650962205,"[64, 70]",29489,145,1.0,1.0
231,top,18,RFP,minus10,6,0.7156106933011299,"[70, 76]",29595,39,1.0,1.0
232,top,18,RFP,minus10,6,0.05947538354207299,"[73, 79]",29435,199,1.0,1.0
233,top,18,RFP,minus10,6,0.7230020330745152,"[75, 81]",29505,129,1.0,1.0
234,top,18,RFP,minus10,6,0.04349995711839128,"[77, 83]",29545,89,1.0,1.0
235,top,18,RFP,minus10,6,0.0045038816723426125,"[80, 86]",29476,158,1.0,1.0
236,top,18,RFP,minus10,6,0.3973379382536406,"[82, 88]",29572,62,1.0,1.0
237,top,18,RFP,minus10,6,0.013545939021952193,"[83, 89]",29217,417,1.0,1.0
238,top,18,RFP,minus10,6,0.383628119632046,"[85, 91]",29557,77,1.0,1.0
239,top,18,RFP,minus10,6,0.15008288165057554,"[86, 92]",29578,56,1.0,1.0
240,top,18,RFP,minus10,6,0.018604100315871626,"[91, 97]",29506,128,1.0,1.0
241,top,18,RFP,minus10,6,0.10648904269030812,"[114, 120]",29515,119,1.0,1.0
242,top,18,RFP,minus10,6,0.0908015299452132,"[119, 125]",29607,27,1.0,1.0
243,top,18,RFP,minus10,6,0.4505700823358858,"[127, 133]",29556,78,1.0,1.0
244,top,18,RFP,minus10,6,0.014810517980175419,"[134, 140]",29582,52,1.0,1.0
245,top,18,RFP,minus10,6,0.000943065041242687,"[136, 142]",29543,91,1.0,1.0
246,top,18,RFP,minus10,6,0.41224360297258655,"[139, 145]",29613,21,1.0,1.0
247,top,18,RFP,minus35,6,0.4947086653784343,"[0, 6]",29475,159,1.0,1.0
248,top,18,RFP,minus35,6,0.7553770512688587,"[3, 9]",29602,32,1.0,1.0
249,top,18,RFP,minus35,6,0.14971246420879072,"[6, 12]",29565,69,1.0,1.0
250,top,18,RFP,minus35,6,0.0014053253991114683,"[7, 13]",29383,251,1.0,1.0
251,top,18,RFP,minus35,6,0.3680274976075327,"[14, 20]",29378,256,1.0,1.0
252,top,18,RFP,minus35,6,0.19380918352687493,"[16, 22]",29576,58,1.0,1.0
253,top,18,RFP,minus35,6,5.482979026261434e-09,"[17, 23]",28869,765,1.0,1.0
254,top,18,RFP,minus35,6,0.35596479888857646,"[21, 27]",29572,62,1.0,1.0
255,top,18,RFP,minus35,6,0.35596479888857646,"[22, 28]",29572,62,1.0,1.0
256,top,18,RFP,minus35,6,0.21218336822095685,"[23, 29]",29539,95,1.0,1.0
257,top,18,RFP,minus35,6,0.006023332588174855,"[28, 34]",29551,83,1.0,1.0
258,top,18,RFP,minus35,6,0.4610922136003779,"[29, 35]",29614,20,1.0,1.0
