Orientation,Parent,Fluor,PWM,Window_size,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,Q-value,status,gain-loss,fluorescence_change,Hotspot_ID
top,P1,RFP,minus10,6,0.0001062788606236,"[30, 36]",62597,220,1.0555555555555556,1.0136029411764709,0.0008600152880303,True,gain,-0.0419526143790847,7
top,P1,RFP,minus10,6,3.815696777269311e-108,"[34, 40]",62447,370,1.0545454545454545,1.807549857549858,1.7684020155017227e-105,True,gain,0.7530044030044036,6
top,P1,RFP,minus35,6,4.962572703522614e-34,"[14, 20]",62258,559,1.0555555555555556,1.0,4.960626596580056e-32,True,gain,-0.0555555555555555,9
top,P1,RFP,minus35,6,2.5665679371234226e-29,"[17, 23]",62495,322,1.0555555555555556,1.0,2.0444317724148763e-27,True,gain,-0.0555555555555555,9
top,P1,RFP,minus35,6,6.280999433146368e-08,"[23, 29]",6853,55964,1.0588235294117647,1.0555555555555556,9.882881206845735e-07,True,loss,0.0032679738562091,8
top,P1,RFP,minus35,6,4.6117459668166887e-11,"[24, 30]",7625,55192,1.0353982300884956,1.0576923076923077,1.1581616226025359e-09,True,loss,-0.022294077603812,8
top,P1,RFP,minus35,6,3.87455033048635e-38,"[25, 31]",61828,989,1.0545454545454545,1.1875,4.489194905640776e-36,True,gain,0.1329545454545455,8
top,P1,RFP,minus35,6,0.000142539212346,"[26, 32]",62804,13,1.0555555555555556,2.205714285714285,0.0011077208910669,True,gain,1.1501587301587295,8
top,P1,RFP,minus35,6,0.0043040260575292,"[28, 34]",62347,470,1.0555555555555556,1.0341905318527176,0.0203542902052725,True,gain,-0.0213650237028379,7
top,P1,RFP,minus35,6,3.2240149971255576e-18,"[33, 39]",62448,369,1.0555555555555556,1.0,1.5360774257332798e-16,True,gain,-0.0555555555555555,6
top,P1,RFP,minus35,6,2.926823565700608e-55,"[34, 40]",62025,792,1.0542056074766355,1.25,5.328909477836321e-53,True,gain,0.1957943925233645,6
top,P2,GFP,minus10,6,0.0001371785047769,"[36, 42]",29514,120,1.0377358490566038,1.0,0.0010759015651579,True,gain,-0.0377358490566037,10
top,P2,GFP,minus10,6,2.264433618285184e-13,"[38, 44]",29463,171,1.0379746835443038,1.0,7.170237631066999e-12,True,gain,-0.0379746835443037,10
top,P2,GFP,minus10,6,8.748476537677934e-09,"[61, 67]",29557,77,1.0377358490566038,1.0,1.5759623105682722e-07,True,gain,-0.0377358490566037,11
top,P2,GFP,minus10,6,6.648950881276736e-05,"[70, 76]",29595,39,1.0377358490566038,1.0,0.0005668286219523,True,gain,-0.0377358490566037,11
top,P2,GFP,minus10,6,0.0045835978533818,"[75, 81]",29505,129,1.0375,1.0535714285714286,0.021477189206379,True,gain,0.0160714285714285,12
top,P2,GFP,minus10,6,8.935146364642528e-12,"[77, 83]",29545,89,1.0377358490566038,1.0,2.372467508695188e-10,True,gain,-0.0377358490566037,12
top,P2,GFP,minus10,6,2.026841777489725e-23,"[80, 86]",29476,158,1.0382433301189329,1.0,1.2601023636149535e-21,True,gain,-0.0382433301189328,12
top,P2,GFP,minus10,6,1.610285683214545e-05,"[83, 89]",29217,417,1.037037037037037,1.064516129032258,0.0001609654198632,True,gain,0.027479091995221,12
top,P2,GFP,minus10,6,0.0028068846888113,"[134, 140]",29582,52,1.0376141967822785,1.0034013605442178,0.0142100279479245,True,gain,-0.0342128362380607,13
top,P2,GFP,minus35,6,0.0028982673728668,"[39, 45]",29588,46,1.0375,1.1223684210526317,0.0145713679160502,True,gain,0.0848684210526315,10
top,P2,GFP,minus35,6,3.0533982291545497e-06,"[40, 46]",2820,26814,1.041986121215513,1.037037037037037,3.53777822096134e-05,True,loss,0.004949084178476,10
top,P2,GFP,minus35,6,8.386484963517923e-08,"[65, 71]",29501,133,1.0377358490566038,1.0071428571428571,1.2839129232436747e-06,True,gain,-0.0305929919137466,11
top,P2,GFP,minus35,6,0.0018744953872411,"[68, 74]",29598,36,1.037593984962406,1.0,0.0101770044408791,True,gain,-0.037593984962406,11
top,P2,GFP,minus35,6,1.0304816956010875e-06,"[75, 81]",29371,263,1.0379746835443038,1.0066445182724253,1.3166405223494597e-05,True,gain,-0.0313301652718784,12
top,P2,GFP,minus35,6,2.0548289257957843e-20,"[77, 83]",29484,150,1.0380952380952382,1.0,1.0689303942558071e-18,True,gain,-0.0380952380952381,12
top,P2,GFP,minus35,6,4.191842841564056e-20,"[78, 84]",29449,185,1.0382513661202186,1.0,2.0950994908130934e-18,True,gain,-0.0382513661202186,12
top,P2,GFP,minus35,6,1.2516710969775244e-05,"[79, 85]",2155,27479,1.0281425891181988,1.0384615384615383,0.0001273656537403,True,loss,-0.0103189493433395,12
top,P3,GFP,minus10,6,7.20855791019078e-10,"[108, 114]",19868,114,1.0309278350515465,1.1290104947526236,1.5123139187717123e-08,True,gain,0.0980826597010771,14
top,P3,GFP,minus10,6,1.0157848194625645e-07,"[114, 120]",19806,176,1.0309278350515465,1.0807291666666663,1.527572569209485e-06,True,gain,0.0498013316151197,14
top,P3,GFP,minus10,6,0.0013767017344896,"[116, 122]",19858,124,1.0310077519379846,1.0631648936170213,0.0078858712836269,True,gain,0.0321571416790367,14
top,P3,GFP,minus10,6,5.452369438688785e-08,"[125, 131]",19922,60,1.03125,1.0,8.713535861578504e-07,True,gain,-0.03125,15
top,P3,GFP,minus10,6,1.1215342160604574e-05,"[144, 150]",19887,95,1.03125,1.0,0.0001157405148476,True,gain,-0.03125,16
top,P3,GFP,minus35,6,7.691176344411423e-07,"[129, 135]",19897,85,1.0310880829015543,1.1111111111111112,1.0079593060105251e-05,True,gain,0.0800230282095568,15
top,P3,GFP,minus35,6,0.0072761238574908,"[139, 145]",19966,16,1.03125,1.0,0.0315154455611623,True,gain,-0.03125,16
top,P3,RFP,minus10,6,0.0003074417015663,"[53, 59]",19885,97,1.0,1.0,0.0021997557873269,True,gain,0.0,20
top,P3,RFP,minus10,6,6.16419104567898e-05,"[60, 66]",19900,82,1.0,1.0,0.0005317266658353,True,gain,0.0,19
top,P3,RFP,minus10,6,4.474609579761888e-39,"[65, 71]",19938,44,1.0,1.8874591503267968,5.305013869215374e-37,True,gain,0.8874591503267968,18
top,P3,RFP,minus35,6,0.0016344076868588,"[56, 62]",19873,109,1.0,1.0,0.0090666054272101,True,gain,0.0,20
top,P3,RFP,minus35,6,4.796196946134213e-05,"[77, 83]",1735,18247,1.0,1.0,0.0004230984417815,True,loss,0.0,17
top,P5,GFP,minus10,6,6.570123470864801e-13,"[99, 105]",663,14996,1.04,1.0232558139534884,1.9702640855569854e-11,True,loss,0.0167441860465116,22
top,P5,GFP,minus10,6,0.0022795990406266,"[114, 120]",15632,27,1.0238095238095235,1.0,0.0118706801931709,True,gain,-0.0238095238095235,23
top,P5,GFP,minus10,6,0.0018085180918769,"[121, 127]",1263,14396,1.0162162162162165,1.024390243902439,0.0099031420326406,True,loss,-0.0081740276862225,23
top,P5,GFP,minus35,6,0.0014535107543893,"[66, 72]",15636,23,1.0238095238095235,1.0,0.0082241929255012,True,gain,-0.0238095238095235,21
top,P5,GFP,minus35,6,0.0017031114251482,"[111, 117]",1431,14228,1.0178571428571428,1.024390243902439,0.009396603945244,True,loss,-0.0065331010452962,23
top,P6,RFP,minus10,6,7.672460648294948e-05,"[46, 52]",10911,232,1.818181818181818,1.5773809523809523,0.0006454489172443,True,gain,-0.2408008658008655,27
top,P6,RFP,minus10,6,1.2263365941837558e-13,"[49, 55]",669,10474,1.2142857142857142,1.826086956521739,4.059651920226485e-12,True,loss,-0.6118012422360248,27
top,P6,RFP,minus10,6,1.8612593450576277e-41,"[51, 57]",958,10185,1.1666666666666667,1.8333333333333333,2.3143171075862897e-39,True,loss,-0.6666666666666665,27
top,P6,RFP,minus10,6,0.0003246411673614,"[54, 60]",863,10280,1.875,1.8141780330222543,0.0022986398211228,True,loss,0.0608219669777456,26
top,P6,RFP,minus10,6,2.468445077714178e-10,"[67, 73]",996,10147,1.6923076923076923,1.8285714285714283,5.64310897138425e-09,True,loss,-0.136263736263736,24
top,P6,RFP,minus35,6,0.0061237288310577,"[42, 48]",11122,21,1.818181818181818,1.3472222222222223,0.0272415092327505,True,gain,-0.4709595959595956,27
top,P6,RFP,minus35,6,7.198491318165403e-16,"[43, 49]",11076,67,1.818181818181818,1.0625,2.867024120313064e-14,True,gain,-0.7556818181818179,27
top,P6,RFP,minus35,6,1.0511821235275532e-20,"[47, 53]",11095,48,1.818181818181818,1.017496429300143,5.582215068482777e-19,True,gain,-0.800685388881675,27
top,P6,RFP,minus35,6,5.992484144988308e-32,"[48, 54]",11050,93,1.818447634237108,1.045045045045045,5.267186926060413e-30,True,gain,-0.7734025891920631,27
top,P6,RFP,minus35,6,2.2114861669823067e-34,"[51, 57]",11060,83,1.818447634237108,1.0089285714285714,2.3487825998491248e-32,True,gain,-0.8095190628085367,27
top,P6,RFP,minus35,6,0.0001397398674699,"[56, 62]",11098,45,1.818181818181818,1.3672131147540985,0.0010909553512428,True,gain,-0.4509687034277194,25
top,P6,RFP,minus35,6,0.0017212848988876,"[72, 78]",10980,163,1.818181818181818,1.6363636363636365,0.0094866058535448,True,gain,-0.1818181818181814,24
top,P8,RFP,minus10,6,1.2502263932956713e-25,"[15, 21]",401,8561,1.009493670886076,1.3636363636363635,9.105220218601905e-24,True,loss,-0.3541426927502875,30
top,P8,RFP,minus10,6,3.7271902057944773e-07,"[26, 32]",363,8599,1.489795918367347,1.3333333333333333,5.149380940146408e-06,True,loss,0.1564625850340137,29
top,P8,RFP,minus10,6,6.560940717437991e-06,"[33, 39]",8949,13,1.3448275862068966,1.0,7.05647168301664e-05,True,gain,-0.3448275862068966,28
top,P8,RFP,minus10,6,0.0005579278780368,"[37, 43]",8952,10,1.3448275862068966,1.0039473684210525,0.003670085577073,True,gain,-0.3408802177858441,28
top,P8,RFP,minus10,6,7.941996337308018e-07,"[39, 45]",8946,16,1.3395658339696737,1.974465811965812,1.038161469938366e-05,True,gain,0.6348999779961384,28
top,P8,RFP,minus35,6,7.796404313758485e-25,"[15, 21]",8892,70,1.356127021235145,1.0,5.161827167732565e-23,True,gain,-0.356127021235145,30
top,P8,RFP,minus35,6,3.944077595334544e-16,"[20, 26]",8894,68,1.3529411764705883,1.0,1.6347079334158946e-14,True,gain,-0.3529411764705883,30
top,P8,RFP,minus35,6,1.4435131733917936e-05,"[26, 32]",8941,21,1.3388042203985933,1.7983870967741935,0.0001457233694643,True,gain,0.4595828763756002,29
top,P8,RFP,minus35,6,4.658639872368809e-22,"[32, 38]",8583,379,1.3636363636363635,1.0833333333333333,2.5537361364877624e-20,True,gain,-0.2803030303030303,28
top,P8,RFP,minus35,6,4.397265689072084e-06,"[37, 43]",8948,14,1.3450684837222109,1.0,4.894598358709494e-05,True,gain,-0.3450684837222109,28
top,P8,RFP,minus35,6,0.000183642072344,"[43, 49]",8952,10,1.3415071770334928,1.971687089269825,0.001395241855156,True,gain,0.6301799122363323,28
top,P9,GFP,minus10,6,3.879408313473496e-176,"[9, 15]",7541,422,1.1385542168674698,2.891497710922172,2.825317654583983e-173,True,gain,1.7529434940547022,31
top,P9,GFP,minus10,6,8.672861566393322e-05,"[136, 142]",7950,13,1.1515151515151516,1.981818181818182,0.0007142851092968,True,gain,0.8303030303030303,33
top,P9,GFP,minus10,6,0.001291222099625,"[142, 148]",7939,24,1.1523306102835176,1.0750661375661374,0.0074633222946578,True,gain,-0.0772644727173801,33
top,P9,GFP,minus35,6,2.2165965624854305e-17,"[116, 122]",617,7346,1.0869565217391304,1.1578947368421053,1.0000185199602413e-15,True,loss,-0.0709382151029749,32
top,P9,GFP,minus35,6,0.0002896613727144,"[123, 129]",7939,24,1.1511627906976745,1.6157831172133232,0.0020857255340367,True,gain,0.4646203265156488,32
top,P9,GFP,minus35,6,0.0018634168015613,"[132, 138]",490,7473,1.1261943520418995,1.1538461538461535,0.0101709837841108,True,loss,-0.0276518018042539,33
top,P9,GFP,minus35,6,0.0005754685997935,"[140, 146]",7933,30,1.1523306102835176,1.0750661375661374,0.0037708726500607,True,gain,-0.0772644727173801,33
top,P12,RFP,minus10,6,3.1227614633286554e-09,"[5, 11]",5877,13,3.2091503267973858,1.398148148148148,6.007486015113013e-08,True,gain,-1.8110021786492376,38
top,P12,RFP,minus10,6,4.281706005170045e-64,"[7, 13]",270,5620,2.432748538011696,3.2278912837775806,9.095057172648703e-62,True,loss,-0.7951427457658844,38
top,P12,RFP,minus10,6,0.0008064932338269,"[9, 15]",5837,53,3.2111111111111112,3.066666666666667,0.0050509858796677,True,gain,-0.1444444444444443,38
top,P12,RFP,minus10,6,6.510546386094559e-14,"[11, 17]",5859,31,3.210526315789474,2.338235294117647,2.2127176984206704e-12,True,gain,-0.8722910216718267,38
top,P12,RFP,minus10,6,1.6167436477519278e-14,"[12, 18]",5866,24,3.2058823529411766,3.9856205500488624,5.845502919318672e-13,True,gain,0.7797381971076858,38
top,P12,RFP,minus10,6,3.0998983541132575e-05,"[14, 20]",5866,24,3.2058823529411766,3.8011849901250825,0.0002905015038468,True,gain,0.5953026371839059,38
top,P12,RFP,minus10,6,6.069716149464187e-06,"[24, 30]",5876,14,3.2090527753389915,2.5232679748397384,6.597742628991137e-05,True,gain,-0.685784800499253,37
top,P12,RFP,minus10,6,0.005910728459641,"[29, 35]",5871,19,3.208791208791209,2.9846625766871164,0.0264788169483741,True,gain,-0.2241286321040925,37
top,P12,RFP,minus10,6,2.360388991791476e-11,"[40, 46]",5847,43,3.2056737588652484,3.8620689655172415,6.108255370636012e-10,True,gain,0.6563952066519931,35
top,P12,RFP,minus10,6,2.8138826986293e-19,"[53, 59]",5772,118,3.217391304347826,2.983860153256705,1.3927353395739973e-17,True,gain,-0.2335311510911211,34
top,P12,RFP,minus10,6,4.272944976757625e-05,"[55, 61]",5880,10,3.20882598414244,2.093425155925156,0.0003835118572449,True,gain,-1.1154008282172838,34
top,P12,RFP,minus10,6,0.0001495349638886,"[58, 64]",5736,154,3.203703703703704,3.391350916231398,0.0011567970347558,True,gain,0.1876472125276937,34
top,P12,RFP,minus35,6,3.335042945626737e-20,"[11, 17]",254,5636,2.3076923076923075,3.21875,1.6833711818618916e-18,True,loss,-0.9110576923076924,38
top,P12,RFP,minus35,6,2.3736768862204294e-06,"[29, 35]",5872,18,3.2096157103430407,2.8287621359223305,2.8141871548725e-05,True,gain,-0.3808535744207102,37
top,P12,RFP,minus35,6,3.541109665599745e-95,"[33, 39]",235,5655,2.1243243243243244,3.2285714285714286,1.5043814229356247e-92,True,loss,-1.1042471042471045,36
top,P12,RFP,minus35,6,0.0002046135964277,"[40, 46]",5662,228,3.2130388585306617,3.083333333333333,0.0015407978058913,True,gain,-0.1297055251973287,35
top,P12,RFP,minus35,6,2.967953468922214e-15,"[50, 56]",472,5418,3.0,3.2198122358470096,1.1462596048913216e-13,True,loss,-0.2198122358470096,34
top,P12,RFP,minus35,6,0.0001290257823275,"[51, 57]",5878,12,3.2090527753389915,2.8873207885304657,0.0010198037803187,True,gain,-0.3217319868085257,34
top,P13,RFP,minus10,6,2.700758795490869e-08,"[6, 12]",5312,13,1.625,2.969270166453265,4.574241973226728e-07,True,gain,1.3442701664532648,42
top,P13,RFP,minus10,6,4.7845383661906315e-09,"[9, 15]",5308,17,1.625,2.9611895161290325,8.902035252131329e-08,True,gain,1.3361895161290325,42
top,P13,RFP,minus10,6,0.0003347748169321,"[13, 19]",5311,14,1.6294779938587514,1.0199654278305963,0.0023593932176521,True,gain,-0.6095125660281551,42
top,P13,RFP,minus10,6,2.2918375498076077e-10,"[30, 36]",5280,45,1.6363636363636365,1.024390243902439,5.262967490504138e-09,True,gain,-0.6119733924611974,40
top,P13,RFP,minus35,6,6.051178408808414e-12,"[13, 19]",5290,35,1.6355731225296446,1.0,1.6408993366013454e-10,True,gain,-0.6355731225296446,42
top,P13,RFP,minus35,6,0.0066363446322839,"[20, 26]",5305,20,1.625,1.9722222222222223,0.0292412142916018,True,gain,0.3472222222222223,41
top,P13,RFP,minus35,6,1.6029067719635037e-07,"[32, 38]",5296,29,1.6326950124418478,1.0212121212121212,2.3280965024130887e-06,True,gain,-0.6114828912297265,40
top,P16,RFP,minus10,6,2.9265668194679564e-14,"[22, 28]",219,3993,1.0086206896551724,1.1,1.0289405272860442e-12,True,loss,-0.0913793103448277,47
top,P16,RFP,minus10,6,0.0081756194451085,"[27, 33]",155,4057,1.0446428571428572,1.0918367346938775,0.0347907411779325,True,loss,-0.0471938775510203,46
top,P16,RFP,minus10,6,0.0008201872497451,"[30, 36]",4190,22,1.0909090909090908,1.0,0.0051241600480398,True,gain,-0.0909090909090908,45
top,P16,RFP,minus10,6,0.0045138065068266,"[56, 62]",246,3966,1.1410714285714287,1.0886586361780315,0.0212478167791338,True,loss,0.0524127923933972,43
top,P16,RFP,minus10,6,0.0111867801671711,"[58, 64]",4201,11,1.0909090909090908,1.0,0.0450831662389235,True,gain,-0.0909090909090908,43
top,P16,RFP,minus35,6,2.849698845924969e-22,"[20, 26]",413,3799,1.0116959064327486,1.1071428571428572,1.614196079613943e-20,True,loss,-0.0954469507101085,47
top,P16,RFP,minus35,6,1.2644569943471365e-07,"[21, 27]",4168,44,1.0918367346938775,1.0,1.8523568267763511e-06,True,gain,-0.0918367346938775,47
top,P16,RFP,minus35,6,0.0001185862111974,"[22, 28]",4181,31,1.0909090909090908,1.0,0.0009520511884792,True,gain,-0.0909090909090908,47
top,P16,RFP,minus35,6,2.4363283608811213e-23,"[61, 67]",419,3793,1.0133843212237097,1.105263157894737,1.478619283782376e-21,True,loss,-0.0918788366710272,43
top,P16,RFP,minus35,6,0.0018312235390059,"[63, 69]",4199,13,1.0909090909090908,1.0,0.0100167141650773,True,gain,-0.0909090909090908,43
top,P19,GFP,minus10,6,0.0002796644488448,"[99, 105]",3445,11,1.5584415584415583,2.508849557522124,0.0020280645237706,True,gain,0.9504079990805658,51
top,P19,GFP,minus10,6,2.8618349526602206e-10,"[102, 108]",225,3231,1.2608695652173914,1.5918367346938775,6.484282039405246e-09,True,loss,-0.3309671694764862,52
top,P19,GFP,minus10,6,3.0459270706838856e-21,"[104, 110]",224,3232,1.21875,1.6082474226804124,1.6345406532996262e-19,True,loss,-0.3894974226804124,52
top,P19,GFP,minus35,6,6.020916164963025e-15,"[76, 82]",383,3073,1.2727272727272727,1.606837606837607,2.273676341406037e-13,True,loss,-0.3341103341103342,49
top,P19,GFP,minus35,6,0.0006276204778338,"[86, 92]",410,3046,1.451415094339623,1.5806451612903225,0.0040655771232486,True,loss,-0.1292300669506996,50
top,P20,GFP,minus10,6,8.333286611391022e-07,"[46, 52]",2699,86,2.6666666666666665,3.236706349206349,1.0809947874013086e-05,True,gain,0.5700396825396825,56
top,P20,GFP,minus35,6,3.3104811758380422e-09,"[21, 27]",2762,23,2.6666666666666665,3.616,6.297325759112813e-08,True,gain,0.9493333333333336,54
top,P20,GFP,minus35,6,0.0001227968807272,"[51, 57]",158,2627,2.521101819970487,2.6666666666666665,0.0009792275141954,True,loss,-0.1455648466961796,56
top,P20,GFP,minus35,6,0.0088447049660175,"[95, 101]",2766,19,2.6666666666666665,2.0,0.0370947154105149,True,gain,-0.6666666666666665,58
top,P20,GFP,minus35,6,4.5553937400959904e-05,"[122, 128]",252,2533,2.5,2.6828528072837634,0.0004060034490735,True,loss,-0.1828528072837634,59
top,P20,RFP,minus10,6,9.030718839828259e-10,"[46, 52]",2699,86,3.4838709677419355,3.0,1.8714879937172543e-08,True,gain,-0.4838709677419355,62
top,P20,RFP,minus10,6,7.332624265376708e-07,"[49, 55]",2773,12,3.47345473198256,2.388319088319088,9.645610087616956e-06,True,gain,-1.085135643663472,62
top,P20,RFP,minus35,6,7.819486344056853e-05,"[45, 51]",2768,17,3.4732138524777665,2.8,0.0006545770341872,True,gain,-0.6732138524777667,62
top,P20,RFP,minus35,6,2.570008365208434e-26,"[51, 57]",158,2627,3.0545412311265965,3.5,1.926750389093029e-24,True,loss,-0.4454587688734035,61
top,P22,GFP,minus10,6,4.420856853715695e-08,"[111, 117]",2537,25,2.083333333333333,1.1875,7.287068950024896e-07,True,gain,-0.895833333333333,65
top,P22,GFP,minus10,6,0.0010015841149954,"[129, 135]",2477,85,2.08,1.6666666666666667,0.006049852865221,True,gain,-0.4133333333333333,67
top,P22,GFP,minus35,6,6.348217265333718e-37,"[110, 116]",279,2283,1.318181818181818,2.206896551724138,7.191824804149176e-35,True,loss,-0.88871473354232,65
bottom,P1,GFP,minus10,6,4.417003418313384e-18,"[26, 32]",62687,130,1.0545454545454545,1.3333333333333333,2.0849892061631142e-16,True,gain,0.2787878787878788,5
bottom,P1,GFP,minus10,6,5.707906513768824e-07,"[40, 46]",61692,1125,1.0555555555555556,1.032967032967033,7.637508505825057e-06,True,gain,-0.0225885225885225,4
bottom,P1,GFP,minus10,6,0.0034319595339574,"[42, 48]",62659,158,1.055045871559633,1.0280398322851152,0.0167267014379682,True,gain,-0.0270060392745177,4
bottom,P1,GFP,minus10,6,0.000848287976744,"[69, 75]",62620,197,1.055045871559633,1.0284090909090908,0.0052738684212694,True,gain,-0.026636780650542,3
bottom,P1,GFP,minus10,6,5.656331406774106e-13,"[82, 88]",62246,571,1.0555555555555556,1.024390243902439,1.716427232841333e-11,True,gain,-0.0311653116531165,1
bottom,P1,GFP,minus10,6,1.6323125358700092e-06,"[83, 89]",62532,285,1.055302983337122,1.028301886792453,2.0197886669575988e-05,True,gain,-0.0270010965446689,1
bottom,P1,GFP,minus10,6,1.6924577058357597e-06,"[85, 91]",62502,315,1.0552740789775186,1.024390243902439,2.084094054190991e-05,True,gain,-0.0308838350750795,1
bottom,P1,GFP,minus35,6,0.0014679692893518,"[34, 40]",62729,88,1.0547945205479452,1.153125,0.0082967931675337,True,gain,0.0983304794520547,4
bottom,P1,GFP,minus35,6,0.0012943863879902,"[66, 72]",62794,23,1.054945054945055,1.0,0.0074670869264948,True,gain,-0.0549450549450549,3
bottom,P1,GFP,minus35,6,1.7988649650323812e-34,"[67, 73]",4196,58621,1.032258064516129,1.0566037735849056,1.9511943812202296e-32,True,loss,-0.0243457090687766,3
bottom,P1,GFP,minus35,6,0.0049955636716072,"[70, 76]",62427,390,1.0551181102362204,1.0388386123680242,0.0230265674483304,True,gain,-0.0162794978681961,2
bottom,P1,GFP,minus35,6,5.813344717169062e-14,"[81, 87]",62434,383,1.0555555555555556,1.0192307692307692,1.98902223947167e-12,True,gain,-0.0363247863247864,1
bottom,P1,GFP,minus35,6,3.6575603838261285e-34,"[82, 88]",6438,56379,1.0333333333333334,1.057471264367816,3.729248567349121e-32,True,loss,-0.0241379310344824,1
bottom,P1,GFP,minus35,6,0.0026075529141723,"[83, 89]",62772,45,1.054945054945055,1.0,0.0133466915225405,True,gain,-0.0549450549450549,1
bottom,P1,GFP,minus35,6,0.0001793803298665,"[86, 92]",62790,27,1.054945054945055,1.0,0.0013648968979991,True,gain,-0.0549450549450549,1
bottom,P1,GFP,minus35,6,6.882490595304028e-09,"[87, 93]",5156,57661,1.039708819510144,1.0555555555555556,1.2486454467921686e-07,True,loss,-0.0158467360454115,1
bottom,P1,GFP,minus35,6,0.000406463515591,"[91, 97]",62462,355,1.0551181102362204,1.0272727272727271,0.0028154225577213,True,gain,-0.0278453829634932,1
bottom,P1,RFP,minus10,6,3.783927872143321e-45,"[112, 118]",62589,228,1.0552147239263805,1.5,5.845595240056561e-43,True,gain,0.4447852760736195,7
bottom,P1,RFP,minus10,6,8.643137149428215e-113,"[114, 120]",62450,367,1.0545454545454545,1.8333333333333333,4.4062713187785044e-110,True,gain,0.7787878787878788,7
bottom,P1,RFP,minus10,6,5.227544071420489e-05,"[119, 125]",62605,212,1.0555555555555556,1.023645503630609,0.0004574373672627,True,gain,-0.0319100519249466,8
